[INPUT]        =CorL; input table filename
[OUTPUT]       =CorL; output table filename
[CALIBRATION]  = 695; calibration in bits/mm
[RTC4]         = 0; RTC4-compatibility mode
[FITORDER]     = 1; degree of overall polynomial fit
[SMOOTHING]    = -1; smoothing parameter for overall spline fit
[AUTO_FIT]     = 1; adjust parameters for fitting
[TOLERANCE]    = 0.01; tolerance value

[Limit(Bits)]  = 524288; control value limits
[Limit(mm)]    = 656.1151; field size limits
[OffsetX]      = 0; offset X
[OffsetY]      = 0; offset Y
[Deviation]    = 0; max. deviation

[GRIDNUMBERS]  = 5  5; grid X, grid Y; points: 11 per line, 11 per column, total 121
[GRIDVALUES_X] =       -656.115       -524.892    -393.669067    -262.446045
[GRIDVALUES_X] =    -131.223022          0.000     131.223022     262.446045
[GRIDVALUES_X] =     393.669067     524.892090     656.115112       0.000000

[GRIDVALUES_Y] =    -656.115112    -524.892090    -393.669067    -262.446045
[GRIDVALUES_Y] =    -131.223022       0.000000     131.223022     262.446045
[GRIDVALUES_Y] =     393.669067     524.892090     656.115112       0.000000

    Xn     Yn         X mm           Y mm

    -5    -5      -656.112000    -656.080000
    -4    -5      -524.880000    -656.128000
    -3    -5      -393.664000    -656.032000
    -2    -5      -262.464000    -656.064000
    -1    -5      -131.232000    -656.096000
     0    -5         0.000000    -656.080000
     1    -5       131.200000    -656.064000
     2    -5       262.432000    -656.080000
     3    -5       393.616000    -656.048000
     4    -5       524.848000    -656.096000
     5    -5       656.064000    -656.080000
    -5    -4      -656.128000    -524.880000
    -4    -4      -524.880000    -524.880000
    -3    -4      -393.680000    -524.864000
    -2    -4      -262.448000    -524.880000
    -1    -4      -131.248000    -524.880000
     0    -4         0.000000    -524.880000
     1    -4       131.200000    -524.848000
     2    -4       262.432000    -524.848000
     3    -4       393.648000    -524.864000
     4    -4       524.864000    -524.864000
     5    -4       656.096000    -524.864000
    -5    -3      -656.112000    -393.664000
    -4    -3      -524.896000    -393.600000
    -3    -3      -393.712000    -393.632000
    -2    -3      -262.448000    -393.648000
    -1    -3      -131.232000    -393.632000
     0    -3        -0.032000    -393.616000
     1    -3       131.232000    -393.648000
     2    -3       262.432000    -393.616000
     3    -3       393.648000    -393.632000
     4    -3       524.848000    -393.616000
     5    -3       656.112000    -393.632000
    -5    -2      -656.112000    -262.416000
    -4    -2      -524.912000    -262.432000
    -3    -2      -393.680000    -262.384000
    -2    -2      -262.432000    -262.384000
    -1    -2      -131.248000    -262.416000
     0    -2        -0.048000    -262.416000
     1    -2       131.216000    -262.432000
     2    -2       262.400000    -262.384000
     3    -2       393.648000    -262.432000
     4    -2       524.880000    -262.400000
     5    -2       656.096000    -262.416000
    -5    -1      -656.128000    -131.216000
    -4    -1      -524.896000    -131.184000
    -3    -1      -393.664000    -131.184000
    -2    -1      -262.432000    -131.200000
    -1    -1      -131.232000    -131.184000
     0    -1        -0.048000    -131.184000
     1    -1       131.216000    -131.152000
     2    -1       262.416000    -131.168000
     3    -1       393.616000    -131.168000
     4    -1       524.880000    -131.200000
     5    -1       656.064000    -131.184000
    -5     0      -656.112000       0.016000
    -4     0      -524.896000       0.064000
    -3     0      -393.712000       0.064000
    -2     0      -262.464000       0.048000
    -1     0      -131.264000       0.032000
     0     0         0.000000       0.032000
     1     0       131.216000       0.048000
     2     0       262.416000       0.048000
     3     0       393.616000       0.048000
     4     0       524.864000       0.048000
     5     0       656.080000       0.032000
    -5     1      -656.112000     131.248000
    -4     1      -524.928000     131.232000
    -3     1      -393.664000     131.232000
    -2     1      -262.496000     131.264000
    -1     1      -131.248000     131.296000
     0     1        -0.048000     131.280000
     1     1       131.184000     131.264000
     2     1       262.400000     131.248000
     3     1       393.648000     131.264000
     4     1       524.848000     131.264000
     5     1       656.064000     131.264000
    -5     2      -656.128000     262.480000
    -4     2      -524.928000     262.496000
    -3     2      -393.664000     262.480000
    -2     2      -262.480000     262.464000
    -1     2      -131.248000     262.464000
     0     2        -0.032000     262.480000
     1     2       131.184000     262.496000
     2     2       262.400000     262.496000
     3     2       393.648000     262.496000
     4     2       524.848000     262.480000
     5     2       656.096000     262.496000
    -5     3      -656.128000     393.696000
    -4     3      -524.912000     393.696000
    -3     3      -393.712000     393.696000
    -2     3      -262.480000     393.712000
    -1     3      -131.248000     393.712000
     0     3         0.000000     393.696000
     1     3       131.200000     393.696000
     2     3       262.400000     393.728000
     3     3       393.648000     393.680000
     4     3       524.864000     393.696000
     5     3       656.096000     393.728000
    -5     4      -656.112000     524.912000
    -4     4      -524.896000     524.944000
    -3     4      -393.680000     524.928000
    -2     4      -262.464000     524.912000
    -1     4      -131.248000     524.928000
     0     4        -0.016000     524.928000
     1     4       131.216000     524.944000
     2     4       262.416000     524.912000
     3     4       393.616000     524.928000
     4     4       524.880000     524.912000
     5     4       656.096000     524.960000
    -5     5      -656.144000     656.128000
    -4     5      -524.928000     656.160000
    -3     5      -393.712000     656.144000
    -2     5      -262.448000     656.112000
    -1     5      -131.280000     656.144000
     0     5        -0.032000     656.128000
     1     5       131.200000     656.128000
     2     5       262.416000     656.176000
     3     5       393.664000     656.128000
     4     5       524.864000     656.144000
     5     5       656.080000     656.128000
