[INPUT]        =CorR; input table filename
[OUTPUT]       =CorR; output table filename
[CALIBRATION]  = 695; calibration in bits/mm
[RTC4]         = 0; RTC4-compatibility mode
[FITORDER]     = 1; degree of overall polynomial fit
[SMOOTHING]    = -1; smoothing parameter for overall spline fit
[AUTO_FIT]     = 1; adjust parameters for fitting
[TOLERANCE]    = 0.01; tolerance value

[Limit(Bits)]  = 524288; control value limits
[Limit(mm)]    = 656.1151; field size limits
[OffsetX]      = 0; offset X
[OffsetY]      = 0; offset Y
[Deviation]    = 0; max. deviation

[GRIDNUMBERS]  = 5  5; grid X, grid Y; points: 11 per line, 11 per column, total 121
[GRIDVALUES_X] =       -656.115       -524.892    -393.669067    -262.446045
[GRIDVALUES_X] =    -131.223022          0.000     131.223022     262.446045
[GRIDVALUES_X] =     393.669067     524.892090     656.115112       0.000000

[GRIDVALUES_Y] =    -656.115112    -524.892090    -393.669067    -262.446045
[GRIDVALUES_Y] =    -131.223022       0.000000     131.223022     262.446045
[GRIDVALUES_Y] =     393.669067     524.892090     656.115112       0.000000

    Xn     Yn         X mm           Y mm

    -5    -5      -656.144000    -656.128000
    -4    -5      -524.928000    -656.144000
    -3    -5      -393.664000    -656.128000
    -2    -5      -262.480000    -656.112000
    -1    -5      -131.248000    -656.112000
     0    -5         0.000000    -656.080000
     1    -5       131.216000    -656.128000
     2    -5       262.432000    -656.128000
     3    -5       393.680000    -656.112000
     4    -5       524.912000    -656.128000
     5    -5       656.144000    -656.096000
    -5    -4      -656.160000    -524.912000
    -4    -4      -524.928000    -524.896000
    -3    -4      -393.680000    -524.912000
    -2    -4      -262.448000    -524.912000
    -1    -4      -131.232000    -524.880000
     0    -4        -0.016000    -524.880000
     1    -4       131.216000    -524.928000
     2    -4       262.432000    -524.880000
     3    -4       393.696000    -524.896000
     4    -4       524.912000    -524.896000
     5    -4       656.128000    -524.912000
    -5    -3      -656.128000    -393.696000
    -4    -3      -524.896000    -393.664000
    -3    -3      -393.728000    -393.680000
    -2    -3      -262.448000    -393.680000
    -1    -3      -131.216000    -393.664000
     0    -3        -0.032000    -393.648000
     1    -3       131.232000    -393.680000
     2    -3       262.432000    -393.696000
     3    -3       393.680000    -393.680000
     4    -3       524.880000    -393.664000
     5    -3       656.144000    -393.664000
    -5    -2      -656.144000    -262.464000
    -4    -2      -524.912000    -262.480000
    -3    -2      -393.680000    -262.432000
    -2    -2      -262.448000    -262.448000
    -1    -2      -131.216000    -262.448000
     0    -2        -0.032000    -262.432000
     1    -2       131.248000    -262.480000
     2    -2       262.448000    -262.448000
     3    -2       393.664000    -262.432000
     4    -2       524.912000    -262.448000
     5    -2       656.144000    -262.480000
    -5    -1      -656.144000    -131.232000
    -4    -1      -524.912000    -131.248000
    -3    -1      -393.664000    -131.248000
    -2    -1      -262.448000    -131.280000
    -1    -1      -131.216000    -131.296000
     0    -1        -0.016000    -131.264000
     1    -1       131.232000    -131.216000
     2    -1       262.480000    -131.248000
     3    -1       393.648000    -131.216000
     4    -1       524.912000    -131.280000
     5    -1       656.128000    -131.248000
    -5     0      -656.176000       0.000000
    -4     0      -524.912000       0.000000
    -3     0      -393.680000       0.000000
    -2     0      -262.480000      -0.016000
    -1     0      -131.248000       0.000000
     0     0         0.000000       0.016000
     1     0       131.248000      -0.016000
     2     0       262.448000      -0.048000
     3     0       393.664000       0.000000
     4     0       524.896000      -0.016000
     5     0       656.128000       0.000000
    -5     1      -656.144000     131.216000
    -4     1      -524.944000     131.184000
    -3     1      -393.664000     131.152000
    -2     1      -262.464000     131.216000
    -1     1      -131.216000     131.216000
     0     1        -0.016000     131.248000
     1     1       131.216000     131.216000
     2     1       262.464000     131.200000
     3     1       393.664000     131.216000
     4     1       524.896000     131.216000
     5     1       656.128000     131.216000
    -5     2      -656.144000     262.432000
    -4     2      -524.944000     262.432000
    -3     2      -393.680000     262.432000
    -2     2      -262.464000     262.400000
    -1     2      -131.248000     262.416000
     0     2         0.000000     262.464000
     1     2       131.216000     262.448000
     2     2       262.448000     262.432000
     3     2       393.680000     262.448000
     4     2       524.880000     262.432000
     5     2       656.112000     262.416000
    -5     3      -656.112000     393.648000
    -4     3      -524.928000     393.648000
    -3     3      -393.712000     393.664000
    -2     3      -262.480000     393.664000
    -1     3      -131.232000     393.680000
     0     3         0.000000     393.664000
     1     3       131.232000     393.664000
     2     3       262.448000     393.680000
     3     3       393.680000     393.680000
     4     3       524.896000     393.680000
     5     3       656.112000     393.664000
    -5     4      -656.160000     524.880000
    -4     4      -524.928000     524.864000
    -3     4      -393.696000     524.880000
    -2     4      -262.480000     524.864000
    -1     4      -131.216000     524.896000
     0     4         0.000000     524.880000
     1     4       131.232000     524.912000
     2     4       262.464000     524.880000
     3     4       393.664000     524.896000
     4     4       524.896000     524.880000
     5     4       656.128000     524.880000
    -5     5      -656.160000     656.032000
    -4     5      -524.928000     656.096000
    -3     5      -393.696000     656.064000
    -2     5      -262.432000     656.080000
    -1     5      -131.232000     656.096000
     0     5        -0.032000     656.112000
     1     5       131.248000     656.096000
     2     5       262.448000     656.096000
     3     5       393.664000     656.080000
     4     5       524.896000     656.112000
     5     5       656.128000     656.080000
