NewCal = 800.0
OldCTBFile =CorL.ctb
NewCTBFile =CorL.ctb
28500 -28500  35.625 -35.624
28500 -22800  35.628 -28.501
28500 -17100  35.625 -21.375
28500 -11400  35.625 -14.247
28500 -5700  35.625 -7.125
28500 0  35.625 -0.002
28500 5700  35.625 7.123
28500 11400  35.625 14.250
28500 17100  35.626 21.377
28500 22800  35.624 28.500
28500 28500  35.627 35.624

22800 -28500  28.502 -35.625
22800 -22800  28.500 -28.500
22800 -17100  28.500 -21.375
22800 -11400  28.500 -14.250
22800 -5700  28.500 -7.125
22800 0  28.502 0.000
22800 5700  28.501 7.125
22800 11400  28.500 14.250
22800 17100  28.500 21.374
22800 22800  28.502 28.500
22800 28500  28.500 35.624

17100 -28500  21.375 -35.625
17100 -22800  21.374 -28.500
17100 -17100  21.375 -21.375
17100 -11400  21.375 -14.251
17100 -5700  21.375 -7.125
17100 0  21.375 -0.001
17100 5700  21.375 7.127
17100 11400  21.376 14.251
17100 17100  21.375 21.374
17100 22800  21.377 28.499
17100 28500  21.375 35.624

11400 -28500  14.250 -35.625
11400 -22800  14.251 -28.500
11400 -17100  14.251 -21.376
11400 -11400  14.250 -14.251
11400 -5700  14.249 -7.126
11400 0  14.249 -0.003
11400 5700  14.249 7.125
11400 11400  14.252 14.249
11400 17100  14.252 21.375
11400 22800  14.250 28.499
11400 28500  14.250 35.625

5700 -28500  7.125 -35.625
5700 -22800  7.124 -28.501
5700 -17100  7.126 -21.375
5700 -11400  7.125 -14.250
5700 -5700  7.127 -7.127
5700 0  7.126 0.000
5700 5700  7.125 7.123
5700 11400  7.126 14.250
5700 17100  7.127 21.376
5700 22800  7.125 28.500
5700 28500  7.124 35.625

0 -28500  -0.002 -35.623
0 -22800  -0.002 -28.500
0 -17100  -0.001 -21.375
0 -11400  0.000 -14.250
0 -5700  0.000 -7.125
0 0  0.000 -0.001
0 5700  -0.001 7.125
0 11400  0.000 14.250
0 17100  -0.001 21.378
0 22800  0.000 28.500
0 28500  0.000 35.625

-5700 -28500  -7.125 -35.624
-5700 -22800  -7.125 -28.501
-5700 -17100  -7.125 -21.375
-5700 -11400  -7.125 -14.251
-5700 -5700  -7.125 -7.125
-5700 0  -7.125 0.000
-5700 5700  -7.125 7.127
-5700 11400  -7.125 14.249
-5700 17100  -7.125 21.377
-5700 22800  -7.125 28.499
-5700 28500  -7.125 35.625

-11400 -28500  -14.250 -35.624
-11400 -22800  -14.250 -28.500
-11400 -17100  -14.250 -21.375
-11400 -11400  -14.250 -14.250
-11400 -5700  -14.252 -7.127
-11400 0  -14.252 0.000
-11400 5700  -14.250 7.125
-11400 11400  -14.250 14.250
-11400 17100  -14.250 21.376
-11400 22800  -14.250 28.498
-11400 28500  -14.250 35.625

-17100 -28500  -21.376 -35.625
-17100 -22800  -21.376 -28.499
-17100 -17100  -21.377 -21.375
-17100 -11400  -21.375 -14.251
-17100 -5700  -21.374 -7.126
-17100 0  -21.374 0.000
-17100 5700  -21.375 7.126
-17100 11400  -21.376 14.253
-17100 17100  -21.376 21.375
-17100 22800  -21.375 28.499
-17100 28500  -21.376 35.625

-22800 -28500  -28.500 -35.625
-22800 -22800  -28.500 -28.499
-22800 -17100  -28.500 -21.375
-22800 -11400  -28.501 -14.253
-22800 -5700  -28.500 -7.125
-22800 0  -28.502 -0.001
-22800 5700  -28.503 7.127
-22800 11400  -28.501 14.252
-22800 17100  -28.500 21.373
-22800 22800  -28.500 28.500
-22800 28500  -28.499 35.623

-28500 -28500  -35.625 -35.624
-28500 -22800  -35.627 -28.501
-28500 -17100  -35.625 -21.375
-28500 -11400  -35.625 -14.250
-28500 -5700  -35.625 -7.124
-28500 0  -35.625 -0.001
-28500 5700  -35.625 7.124
-28500 11400  -35.624 14.251
-28500 17100  -35.625 21.374
-28500 22800  -35.625 28.500
-28500 28500  -35.625 35.624

