NewCal = 800.0
OldCTBFile =CorR.ctb
NewCTBFile =CorR.ctb
28500 -28500  35.625 -35.625
28500 -22800  35.625 -28.500
28500 -17100  35.625 -21.374
28500 -11400  35.624 -14.251
28500 -5700  35.626 -7.128
28500 0  35.624 -0.001
28500 5700  35.625 7.125
28500 11400  35.626 14.250
28500 17100  35.626 21.375
28500 22800  35.625 28.499
28500 28500  35.625 35.624

22800 -28500  28.500 -35.625
22800 -22800  28.500 -28.500
22800 -17100  28.500 -21.374
22800 -11400  28.499 -14.250
22800 -5700  28.500 -7.126
22800 0  28.500 -0.002
22800 5700  28.500 7.125
22800 11400  28.500 14.249
22800 17100  28.500 21.375
22800 22800  28.502 28.500
22800 28500  28.500 35.622

17100 -28500  21.375 -35.626
17100 -22800  21.375 -28.500
17100 -17100  21.375 -21.375
17100 -11400  21.375 -14.250
17100 -5700  21.376 -7.127
17100 0  21.375 0.000
17100 5700  21.376 7.125
17100 11400  21.375 14.250
17100 17100  21.375 21.375
17100 22800  21.377 28.499
17100 28500  21.375 35.623

11400 -28500  14.250 -35.625
11400 -22800  14.250 -28.500
11400 -17100  14.250 -21.374
11400 -11400  14.250 -14.252
11400 -5700  14.250 -7.127
11400 0  14.250 -0.003
11400 5700  14.250 7.127
11400 11400  14.250 14.250
11400 17100  14.251 21.375
11400 22800  14.249 28.497
11400 28500  14.250 35.625

5700 -28500  7.124 -35.625
5700 -22800  7.125 -28.501
5700 -17100  7.125 -21.375
5700 -11400  7.125 -14.251
5700 -5700  7.125 -7.125
5700 0  7.125 -0.002
5700 5700  7.125 7.125
5700 11400  7.126 14.250
5700 17100  7.126 21.375
5700 22800  7.125 28.496
5700 28500  7.126 35.625

0 -28500  0.000 -35.625
0 -22800  0.000 -28.500
0 -17100  0.000 -21.375
0 -11400  0.001 -14.250
0 -5700  0.000 -7.124
0 0  -0.001 -0.003
0 5700  0.000 7.124
0 11400  0.001 14.250
0 17100  0.000 21.375
0 22800  0.000 28.498
0 28500  0.000 35.624

-5700 -28500  -7.124 -35.626
-5700 -22800  -7.125 -28.501
-5700 -17100  -7.125 -21.377
-5700 -11400  -7.124 -14.252
-5700 -5700  -7.124 -7.124
-5700 0  -7.122 -0.004
-5700 5700  -7.125 7.124
-5700 11400  -7.125 14.250
-5700 17100  -7.127 21.375
-5700 22800  -7.126 28.499
-5700 28500  -7.125 35.624

-11400 -28500  -14.250 -35.625
-11400 -22800  -14.250 -28.500
-11400 -17100  -14.250 -21.377
-11400 -11400  -14.249 -14.251
-11400 -5700  -14.250 -7.125
-11400 0  -14.250 -0.001
-11400 5700  -14.250 7.123
-11400 11400  -14.252 14.250
-11400 17100  -14.251 21.375
-11400 22800  -14.251 28.500
-11400 28500  -14.250 35.625

-17100 -28500  -21.376 -35.626
-17100 -22800  -21.375 -28.501
-17100 -17100  -21.375 -21.377
-17100 -11400  -21.376 -14.252
-17100 -5700  -21.375 -7.125
-17100 0  -21.374 0.000
-17100 5700  -21.376 7.126
-17100 11400  -21.375 14.250
-17100 17100  -21.375 21.375
-17100 22800  -21.376 28.500
-17100 28500  -21.375 35.625

-22800 -28500  -28.500 -35.627
-22800 -22800  -28.497 -28.502
-22800 -17100  -28.499 -21.374
-22800 -11400  -28.499 -14.250
-22800 -5700  -28.501 -7.127
-22800 0  -28.500 0.000
-22800 5700  -28.499 7.126
-22800 11400  -28.500 14.250
-22800 17100  -28.499 21.374
-22800 22800  -28.497 28.498
-22800 28500  -28.500 35.627

-28500 -28500  -35.625 -35.626
-28500 -22800  -35.626 -28.501
-28500 -17100  -35.624 -21.375
-28500 -11400  -35.625 -14.251
-28500 -5700  -35.625 -7.128
-28500 0  -35.625 -0.003
-28500 5700  -35.626 7.123
-28500 11400  -35.625 14.249
-28500 17100  -35.624 21.374
-28500 22800  -35.627 28.499
-28500 28500  -35.625 35.625

