NewCal = 1000.0
OldCTBFile =CorL.ctb
NewCTBFile =CorL.ctb
28500 -28500  28.502 -28.495
28500 -22800  28.506 -22.793
28500 -17100  28.503 -17.095
28500 -11400  28.503 -11.397
28500 -5700  28.503 -5.696
28500 0  28.504 0.004
28500 5700  28.503 5.705
28500 11400  28.504 11.404
28500 17100  28.508 17.106
28500 22800  28.504 22.805
28500 28500  28.506 28.503

22800 -28500  22.803 -28.496
22800 -22800  22.803 -22.796
22800 -17100  22.805 -17.097
22800 -11400  22.806 -11.396
22800 -5700  22.805 -5.696
22800 0  22.804 0.005
22800 5700  22.804 5.707
22800 11400  22.804 11.405
22800 17100  22.805 17.102
22800 22800  22.802 22.804
22800 28500  22.803 28.504

17100 -28500  17.104 -28.492
17100 -22800  17.103 -22.795
17100 -17100  17.102 -17.095
17100 -11400  17.104 -11.394
17100 -5700  17.104 -5.694
17100 0  17.102 0.005
17100 5700  17.103 5.704
17100 11400  17.103 11.404
17100 17100  17.104 17.103
17100 22800  17.103 22.804
17100 28500  17.104 28.505

11400 -28500  11.403 -28.495
11400 -22800  11.404 -22.793
11400 -17100  11.402 -17.096
11400 -11400  11.405 -11.397
11400 -5700  11.405 -5.693
11400 0  11.402 0.005
11400 5700  11.403 5.702
11400 11400  11.404 11.403
11400 17100  11.405 17.101
11400 22800  11.405 22.804
11400 28500  11.403 28.504

5700 -28500  5.702 -28.494
5700 -22800  5.703 -22.791
5700 -17100  5.702 -17.093
5700 -11400  5.702 -11.396
5700 -5700  5.702 -5.692
5700 0  5.703 0.005
5700 5700  5.702 5.702
5700 11400  5.702 11.401
5700 17100  5.702 17.103
5700 22800  5.703 22.803
5700 28500  5.704 28.504

0 -28500  0.002 -28.496
0 -22800  0.002 -22.794
0 -17100  0.000 -17.097
0 -11400  0.003 -11.397
0 -5700  0.002 -5.696
0 0  0.000 0.000
0 5700  0.002 5.702
0 11400  0.003 11.401
0 17100  0.003 17.102
0 22800  0.002 22.805
0 28500  0.002 28.504

-5700 -28500  -5.698 -28.496
-5700 -22800  -5.699 -22.793
-5700 -17100  -5.699 -17.096
-5700 -11400  -5.698 -11.397
-5700 -5700  -5.699 -5.694
-5700 0  -5.699 0.006
-5700 5700  -5.697 5.703
-5700 11400  -5.698 11.402
-5700 17100  -5.700 17.103
-5700 22800  -5.700 22.805
-5700 28500  -5.702 28.507

-11400 -28500  -11.398 -28.496
-11400 -22800  -11.399 -22.796
-11400 -17100  -11.398 -17.090
-11400 -11400  -11.400 -11.396
-11400 -5700  -11.399 -5.694
-11400 0  -11.400 0.004
-11400 5700  -11.400 5.708
-11400 11400  -11.400 11.405
-11400 17100  -11.400 17.101
-11400 22800  -11.403 22.805
-11400 28500  -11.402 28.506

-17100 -28500  -17.098 -28.498
-17100 -22800  -17.099 -22.791
-17100 -17100  -17.099 -17.090
-17100 -11400  -17.100 -11.395
-17100 -5700  -17.100 -5.696
-17100 0  -17.100 0.005
-17100 5700  -17.099 5.705
-17100 11400  -17.103 11.403
-17100 17100  -17.101 17.102
-17100 22800  -17.103 22.810
-17100 28500  -17.101 28.506

-22800 -28500  -22.802 -28.496
-22800 -22800  -22.802 -22.793
-22800 -17100  -22.801 -17.094
-22800 -11400  -22.801 -11.397
-22800 -5700  -22.802 -5.697
-22800 0  -22.804 0.004
-22800 5700  -22.805 5.705
-22800 11400  -22.804 11.404
-22800 17100  -22.805 17.106
-22800 22800  -22.803 22.804
-22800 28500  -22.806 28.505

-28500 -28500  -28.500 -28.495
-28500 -22800  -28.504 -22.797
-28500 -17100  -28.500 -17.096
-28500 -11400  -28.500 -11.394
-28500 -5700  -28.505 -5.694
-28500 0  -28.503 0.003
-28500 5700  -28.505 5.704
-28500 11400  -28.504 11.403
-28500 17100  -28.504 17.103
-28500 22800  -28.505 22.805
-28500 28500  -28.508 28.505

