NewCal = 1000.0
OldCTBFile =CorR.ctb
NewCTBFile =CorR.ctb
28500 -28500  28.504 -28.499
28500 -22800  28.502 -22.802
28500 -17100  28.499 -17.105
28500 -11400  28.501 -11.403
28500 -5700  28.505 -5.703
28500 0  28.502 -0.002
28500 5700  28.503 5.698
28500 11400  28.505 11.398
28500 17100  28.502 17.099
28500 22800  28.506 22.797
28500 28500  28.506 28.499

22800 -28500  22.802 -28.498
22800 -22800  22.804 -22.799
22800 -17100  22.804 -17.103
22800 -11400  22.804 -11.403
22800 -5700  22.806 -5.701
22800 0  22.805 -0.001
22800 5700  22.805 5.697
22800 11400  22.807 11.396
22800 17100  22.805 17.099
22800 22800  22.805 22.798
22800 28500  22.806 28.496

17100 -28500  17.102 -28.498
17100 -22800  17.102 -22.800
17100 -17100  17.105 -17.102
17100 -11400  17.105 -11.400
17100 -5700  17.105 -5.698
17100 0  17.105 -0.001
17100 5700  17.104 5.700
17100 11400  17.106 11.396
17100 17100  17.105 17.100
17100 22800  17.104 22.800
17100 28500  17.105 28.498

11400 -28500  11.399 -28.500
11400 -22800  11.400 -22.798
11400 -17100  11.404 -17.103
11400 -11400  11.405 -11.398
11400 -5700  11.405 -5.698
11400 0  11.405 0.002
11400 5700  11.405 5.702
11400 11400  11.403 11.397
11400 17100  11.401 17.101
11400 22800  11.405 22.802
11400 28500  11.403 28.500

5700 -28500  5.699 -28.499
5700 -22800  5.700 -22.803
5700 -17100  5.702 -17.100
5700 -11400  5.703 -11.398
5700 -5700  5.704 -5.699
5700 0  5.705 0.002
5700 5700  5.705 5.701
5700 11400  5.704 11.401
5700 17100  5.701 17.100
5700 22800  5.704 22.798
5700 28500  5.703 28.499

0 -28500  0.003 -28.498
0 -22800  0.000 -22.801
0 -17100  0.002 -17.101
0 -11400  0.000 -11.401
0 -5700  0.001 -5.699
0 0  0.000 0.000
0 5700  0.001 5.704
0 11400  0.001 11.402
0 17100  0.002 17.101
0 22800  0.000 22.802
0 28500  0.002 28.498

-5700 -28500  -5.695 -28.502
-5700 -22800  -5.698 -22.801
-5700 -17100  -5.697 -17.103
-5700 -11400  -5.702 -11.398
-5700 -5700  -5.700 -5.697
-5700 0  -5.702 0.002
-5700 5700  -5.701 5.702
-5700 11400  -5.698 11.399
-5700 17100  -5.697 17.100
-5700 22800  -5.697 22.802
-5700 28500  -5.695 28.500

-11400 -28500  -11.394 -28.495
-11400 -22800  -11.395 -22.798
-11400 -17100  -11.396 -17.099
-11400 -11400  -11.399 -11.398
-11400 -5700  -11.401 -5.697
-11400 0  -11.399 0.001
-11400 5700  -11.400 5.702
-11400 11400  -11.398 11.399
-11400 17100  -11.398 17.101
-11400 22800  -11.395 22.802
-11400 28500  -11.394 28.501

-17100 -28500  -17.094 -28.498
-17100 -22800  -17.095 -22.800
-17100 -17100  -17.097 -17.103
-17100 -11400  -17.096 -11.397
-17100 -5700  -17.101 -5.697
-17100 0  -17.101 0.002
-17100 5700  -17.095 5.701
-17100 11400  -17.097 11.398
-17100 17100  -17.099 17.101
-17100 22800  -17.096 22.801
-17100 28500  -17.094 28.501

-22800 -28500  -22.795 -28.498
-22800 -22800  -22.795 -22.798
-22800 -17100  -22.795 -17.099
-22800 -11400  -22.799 -11.400
-22800 -5700  -22.798 -5.698
-22800 0  -22.796 0.000
-22800 5700  -22.798 5.699
-22800 11400  -22.799 11.398
-22800 17100  -22.797 17.101
-22800 22800  -22.795 22.798
-22800 28500  -22.796 28.502

-28500 -28500  -28.499 -28.498
-28500 -22800  -28.496 -22.801
-28500 -17100  -28.500 -17.101
-28500 -11400  -28.502 -11.400
-28500 -5700  -28.500 -5.698
-28500 0  -28.501 0.002
-28500 5700  -28.499 5.701
-28500 11400  -28.498 11.402
-28500 17100  -28.498 17.101
-28500 22800  -28.496 22.799
-28500 28500  -28.497 28.502

